what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1264441274405
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264441274405
java.vm.version,sysinfo,,,"14.3-b01",1264441274405
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.debug.ui",1264441274847
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441275367
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441293495
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1264441302796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441302818
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1264441302869
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1264441302883
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441303090
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441303606
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441320554
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264441327217
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1264441327796
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1264441327802
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20090910-1601,"org.eclipse.dltk.debug.ui",1264441327808
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1264441327813
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1264441327818
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1264441327823
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1264441327828
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1264441327831
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.debug.ui",1264441327831
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090914-1400,"org.eclipse.php.debug.core",1264441327834
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui",1264441327882
